firstname,lastname,known_as,oxford_email,sso_username,university_card_type
James,Williams,Jame,james.williams@test.test,james324,UG
Hannah,Green,,hannah.green@test.test,hannah2746,PG
Michael,Smith,Mike,michael.smith@test.test,msmith01,UG
Emily,Johnson,Em,emily.johnson@test.test,ejohnson02,UG
Daniel,Brown,Danny,daniel.brown@test.test,dbrown03,PG
Olivia,Jones,Liv,olivia.jones@test.test,ojones04,UG
William,Miller,Will,william.miller@test.test,wmiller05,UG
Sophie,Davis,Soph,sophie.davis@test.test,sdavis06,PG
Benjamin,Garcia,Ben,benjamin.garcia@test.test,bgarcia07,UG
Isabella,Rodriguez,Bella,isabella.rodriguez@test.test,irodriguez08,UG
Ethan,Martinez,E,ethan.martinez@test.test,emartinez09,PG
Mia,Hernandez,,mia.hernandez@test.test,mhernandez10,UG
Alexander,Lopez,Alex,alexander.lopez@test.test,alopez11,UG
Charlotte,Gonzalez,Char,charlotte.gonzalez@test.test,cgonzalez12,PG
Henry,Wilson,Hen,henry.wilson@test.test,hwilson13,UG
Amelia,Anderson,Amy,amelia.anderson@test.test,aanderson14,UG
Lucas,Thomas,Luke,lucas.thomas@test.test,lthomas15,PG
Grace,Taylor,Gracie,grace.taylor@test.test,gtaylor16,UG
Jacob,Moore,Jake,jacob.moore@test.test,jmoore17,UG
Chloe,Jackson,Chlo,chloe.jackson@test.test,cjackson18,PG
Noah,White,,noah.white@test.test,nwhite19,UG
Lily,Harris,Lil,lily.harris@test.test,lharris20,UG
