,place,speed,bodydirection,headdirection,rest,walk,locomotion,freezing,rear,corners,walls,center,object1,object2,object3,object4,objects
place,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speed,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5
bodydirection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headdirection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rest,0.0,9.0,0.0,0.0,0.0,2.5,5.0,0.0,2.0,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.5
walk,0.0,3.0,0.0,0.0,1.5,0.0,2.0,1.0,1.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0
locomotion,0.5,14.0,0.0,0.0,4.0,4.0,0.0,1.5,1.5,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.5
freezing,0.0,5.0,0.0,0.0,4.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5
rear,0.0,2.0,0.0,0.0,2.0,1.0,1.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5
corners,0.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,1.0
walls,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0
center,0.0,0.5,0.0,0.0,0.5,0.5,1.0,0.0,0.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
object1,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
object2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,2.0,0.0,0.0,0.0,0.0,2.0
object3,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0
object4,0.0,0.5,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0
objects,0.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
